text,kategori
"Lah uu ite aja disahkan oleh pak jokowi atas printah pdip kn wktu itu siapa tuh ktua dpr nya... Wkwkwkw... Skarang pak ganjar mau mngusahakn kbebasan pendapat tpi tunggangannya pdip. Gk salah?! Dari sini aja keliatan pdip mainnya kotor, dari prnyataan pk ganjar yg akan menegakan kbebasan pendapat bagi masyarakat seolah mnyalahkan pakde jokowi pdahal slama 5 tahun kpemimpinan ini aja pkde jokowi ditunggangi pdip🤦🏻‍♀️. Rakyat sudah muak dengan tunggangan bpk yg bnyak melakukan kontroversi. Saya katakan bpk bagus, tapi sayang bahwa pak ganjar akan dijadikan the next doll oleh pdip. Ingat?! Pak jokowi saja hanya petugas partai🗿. Padahal sejatinya presiden adalah petugas masyarakat bukan partai!

Pk prabowo juga bnyak yg gk konsisten omongannya sma perilakunya. Beliau menyinggung penegakkan HAM?! Apakah beliau sadar akan rekam jejaknya?! Bliau menyinggung perihal pengorbanan untuk tanah air bangsa dn negara yg slama ini beliau lakoni, apa tidak salah?! Yg rakyat lihat itu pengorbanan untuk para penguasa keji dn pribadi tpi kenapa harus mngatasnamakan rakyat?! 2019 lalu rakyat memberi kesempatakn dn kepercayaan akan bpk terlepas dri rekam jejak yg ada, eh bpk malah beralih dri oposisi ke koalisi. Rakyat skarang sudah jeli bahwa semua itu hanya tentang ambisi pribadi. Disamping itu, beliau mengambil calon wakil presiden yg lahir dri privilege hasil nepotisme antara pdip dn jokowi. Bagaimana mngkin beliau masih bisa berorasi tentang keadilan bagi rakyat khususnya HAM?! Adakah cermin! Kredibilitas dan integritas beliau sudah sangat jelas bkan untuk Tuhan, bangsa dan negara, tpi untuk sebuah kepentingan yg ada pda penguasa.

Pk Anis dengan kecerdasan diksi dan kata2 retorikanya yg terlampau optimis, membuat masyarakat sedikit takut akan janji2, yg sebenarnya janji itu adalah sebuah usaha bersama yg kenyataannya memang tidak akan selali sempurna, karena kesempurnaan hanya milik Tuhan. Namun tak dapat dipungkiri, bahwa rekam jejaknya yg begitu memukau, cukup membuat beliau optimis dlm kata2nya. Seseorang yg terlihat begitu optimis, meski kekurangan itu selalu ada. Keoptimisan beliau yg terlampau memukau, malah membawa kemunduran dn ketakutan bagi para pengecut akan janji2nya!",pendukung_anis
Semoga p.Anis menang jadi Presiden,pendukung_anis
Prabowo ❤❤,pendukung_prabowo
"pak anies ini ngomongnya paling pinter, tapi biasa.nya yg bisa eksekusi justru yg ngomongnya paling belibet, tau kan",pendukung_anis
Kudoakan pak anies tuhan campur tangan ya pak .ga ada yg mustahil bagi tuhan . Jgn kuatir berdoa pasti bapak menang  .❤,pendukung_anis
Merdekaaaa pak prabowoooooooooooooooo💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪❤❤❤❤❤❤❤❤❤❤,pendukung_prabowo
Wkwkwk banyak buzzer Anies,pendukung_anis
"Jdi untuk BPK @anies Baswedan ta prlu cape "" bapa ngomong panjang lebar ngibulin masyarakat dengn berkedok agama ...kasihan pak kasihan bp jdi gubernur SJ udah menyusahkan masyarakat sebagian apa lagi klu BP jdi presiden pak🙏",pendukung_anis
Ganjar best,pendukung_ganjar
Tidak.  Semua. Manusia.  Memilih. Anis,pendukung_anis
"Pak Ganjar gaya bicaranya Jelas ya 
Mudah di mengerti",pendukung_ganjar
Prabowo siap lantik jadi presiden Indonesia 👍👍👍,pendukung_prabowo
Sangat manis sekali dari pak Anies masalah Agama ini yg benar menjalan Panca sila yg baik sayangnya waktu pembukaan salamnya tidak semua agama sebagaimana no urut 2 dan 3 berarti Anies hanya setengah hati apalagi tidak mau meneruskan IKN sy serukan rakyat kalimantan jangan mau memilih orang yg tidak senang dgn IKN,pendukung_anis
Akuh pilih pak anies,pendukung_anis
"Mana yg trrpilih itu lah pilihan tuhan.klou pak ganjar ini terlalu over tinting,terlalu lebay dan terlalu berambisi.prabowo dan pak Anis lh yg bisa maju garda kedepan.mana yg terpilih ke dua nya itu lh yg terbaik di hadapan tuhan kita.Allah Humma solli Alla muhammad,waalli muhammad,",pendukung_anis
"Izin menanggapi yaa, menurut penilaian saya, apa yang disampaikan pak Anies adalah representasi dari keresahan masyarakat umum. Seperti soal kritikan terhadap fenomena ""orang dalam"". Saya yakin semua orang pasti pernah melihat atau bersinggungan langsung dengan orang² yang menggunakan privilege tersebut. Seperti sulitnya mendapatkan pekerjaan karena dikuasai orang dalam dsb. Bahkan, ada yang dengan bangga memamerkan tindakan kecurangan itu. Saya justru ingin berterima kasih kepada pak Anies karena berhasil menyuarakan keresahan kami. Itu saja",pendukung_anis
anies keren juga. dia tau musuh terkuat. Langsung di pancing emosi nya dari awal acara. sayang banget pak prabowo ga bisa jaga emosi. langsung blunder pak prabowo. Tapi siapapun presiden nya asal jangan kepala silver.,pendukung_anis
"Prabowo harus jdi,,,,",pendukung_prabowo
pak anis terlalu banyak visi misi.apakah nanti kalau sudah jadi presiden apakah  bisa melakukan semua itu.,pendukung_anis
Dsni aku perhatikan pak ganjar hanya bisa tertawa melihat pak prabowo tegas 🎉,pendukung_prabowo
Kok aku jijik ya lihat cara Anis dan Ganjar berbicara 😂😂,pendukung_anis
Untuk anakku Nisa ayah komintar disini supaya kamu tau nanti kalau sudah dewasa kamu melihat ayah disini ikut serta mendukung bapak Prabowo Subianto ❤,pendukung_prabowo
PAK GANJAR Haleluya,pendukung_ganjar
Lalu bagaimana keadilan yang akan anda berikan bung anis? Hanyangeles saja jangankan mikir keadilan yang harusnya rakyat bisa makan berad bansosblho justru lenyap dan itu hanya tinggal menyampaikan lho kenapa bisa akarenabitulahbyangbadil menurutbungvanis apakah akan kitabpilih? Tidak kitabharus pilih yang lainyang tidak mementingkan perutvsendiri,pendukung_anis
"Saya kok lebih ke Anies ya,lebih cerdas dan santai orangnya,di olok² Prabowo di debat pertama,tapi tetap tenang.",pendukung_anis
Jawa barat nga di sebut sama pk ganjar,pendukung_ganjar
Sala pak anis,pendukung_anis
Mantab misi Prabowo,pendukung_prabowo
PAK GANJAR PISIMISINYA SUDAH LAMA TERBENTUK.,pendukung_ganjar
"Knp pak Prabowo takut sama pemerintah yg berkuasa,gk mungkin jdi gubernur klw gk da yg berkuasa kata nya,lihat lah Anis percaya diri dan yakin PD diri sendiri menuju keadilan tanpa memandang yg berkuasa,jika pemerintah brkuasa rakyat tak bisa brkata.",pendukung_anis
❤❤❤❤❤p Ani's smga jdi persiden,pendukung_anis
Anies emang cocok jadi presiden RI  maju trus pak semoga terlantik di THN ini,pendukung_anis
prabowo menang hahahahahahahahahahahahahaha nangisssss lu,pendukung_prabowo
Anis cuma pinter ngomong waktu jadi gubernur DKI banyak ngibul tidak sesuai fakta. Tapi sekarang Kabar nya Anis banyak hutang nyungsep ke got jadi gembel politik 🎉😂,pendukung_anis
Pk anis itu banyak hayalan di kira segampang mengatur rumah tangga basih itu masarakat sudah pintar,pendukung_anis
Tetap.  Kan.  Bapak. Prabowo.  Dan.   Gibran,pendukung_prabowo
"dr debat semalam... ketauan aslinya.. anies selama ini diframing bijak tenang kalem meski dizalimi tapi aslinya ngeri loh... nalurinya agresif.. tanpa belas kasihan.. 
dr awak aja sdh nyerang.. 

lalu prabowo selama ini diframing gemoy santun beradab baik.. jauh beda dr 2014 dan 2019 tapi aslinya msh sama.. ngamukan emosional dan juga diframing intelek namun faktanya dia sdh habis..

sdh sulit berpikir yg berat dan dalam.. 
peak perfomance jauh menurun.. 
fokus pun menurun jauh, misal di debat kmrn temanya ttg HAM, Demokrasi, dan Korupsi tapi prabowo menanyakan polusi udara ke Anies dan bertanya soal pupuk juga pengangguran ke Ganjar.. out of topic

ganjar selama ini diframing baperan mudah marah anti kritik namun faktanya tenang kalem jago story telling.. dan ga ada blunder... 

framing media dan para buzzer terbantahkan di debat kmrn",pendukung_anis
"Pak Ganjar, sy dari Papua Barat pak mohon izin sy sampaikan bahwa ketika pak dipilih JD presiden, pak, ingat ada perusahaan di masing _masing daerah jgn yg kerjanya orang diluar Papua",pendukung_ganjar
"Insya Allah Smoga bpk Prabowo / mas Gibran   mau mengang
kat tenaga guru honorer di seluruh indonesia baik  sekolah negeri maupun sekolah yayasan.",pendukung_prabowo
Prabowo tersinggung mengenai demokrasi dan oposisi,pendukung_prabowo
Wakanda no more Indonesia forever slogan itu maksud nya gimana 🤔 wakanda is not even a real thing its a fiction. Mau nyalon jd president or movie actor pak Anis 😁,pendukung_anis
Pa bowo pk Prabowo semangat pk,pendukung_prabowo
Janga pili Prabowo kalo Prabowo jadi presiden bisa jadi pran dengan ngra yang dekat indonesia hati2 pili prabowo,pendukung_prabowo
Ganjar mantap❤,pendukung_ganjar
Alhmdllah. Sudah hadir sosok pemimpin yg adil cerdas.. smga pak anis mnjadi presiden indonesia.... Inilah pmimpin yg kita dambakan,pendukung_anis
"Pak Ganjar tolong kemiskinan di Jawa tengah di kurangi dulu..,saya berdomisili di Jawa tengah untuk cari makan saja susah..UMR nya juga masih sekecil itu.",pendukung_ganjar
"Pak prabowo gk ngerti analogi.... Pak anis cocoknya debat sma rocky gerung😅

Mksd angin gk punya ktp tuh mksdnya nih, masalah polusi itu bukan mutlak di jakarta tpi angin yg membawa emitan atau polutan itu. Ketika arah angin menuju jakarta, maka alat pendeteksi udara kotor akan mendeteksi bahwa udara di jakarta sedang kotor, kmudian saat arah angin menuju arah lain selain jakarta, maka pendeteksi tidak mendeteksi udara jakarta kotor. Intinya masalah polusi udara itu sebabnya bukan mutlak karena polutan di jakarta saja, tapi polutan dri purwakarta misal yg terbawa angin ke jakarta, maka alat trsebut akan mendeteksi udara jakarta sdang kotor dan persentasenya naik atau diatas normal.

Pak prabowo kn bertanya tantang cara pk anis mengatasi polusi udara dengan dana anggaran 80T. Smuanya sudah dijawab oleh pk anis tetapi dirasa pk prabowo kurang mengerti mksdnya. Secara logika sudah ada pnyampaian ""alat pendeteksi udara di Jakarta"" memangnya itu gk pake duit😂, kmudian pk anis mngatakan kenaikan persentase orang jkt menggunakan kndaraan umum sudah meningkat, artinya dana sbanyak 80T trsebut memang digunakan sbagaimana mestinya.

Prtanyaan pk prabowo yg disoroti disini adalah ""kenapa udara jakarta kotor terus"".... Nah singkatnya itu krena arah angin yg dideteksi oleh alat pendeteksi. Makannya pk anis bilang angin tidak nemiliki ktp. Angin tidak punya identitas untuk mngenali arah angin yg mnuju jkt itu dri mana asalnya. Pk anis bukan avatar untuk bisa trus mengetahui asal angin dn mngendalikan elemen angin🤣.

Di akhir beliau mengatakan, jika terpilih, maka sluruh indonesia, akan menggunakan sistem pendeteksi udara kotor ini. (Kn ini hanya pendeteksi udara kotor) jika persentasenya diatas normal maka akan dikatakan udara kotor, makannya knapa ada saat jakarta bersih ada saat jakarta kotor. 😂

Inilah maksud pak anis tentang yg angin tidak pnya KTP, yg malah diketawain, krena mungkin wajar bbrapa kurang nangkep maksdnya beliau.😂

Jdi beliau ingin menyanggah pertanyaan pk prabowo yg mngatakan udara d jkt selalu kotor! Bukan begitu tpi trgantung arah angin dn persentase dri alat pendeteksi udara kotor.

#salamakalsehat😂",pendukung_anis
OK bpk Anis Baswedan jdi president Indonesia amin,pendukung_anis
Bangkit pak anis...mantap,pendukung_anis
Anis pandai cakap kosong 😂😂,pendukung_anis
Anis pantas jadi pelawak masa angin ga punya ktp,pendukung_anis
Hidop prabowo gibran,pendukung_prabowo
Lanjutksn pk Ganjar aku cocok sama pk gjr.yg merakyat pd rakyat bawahan.,pendukung_ganjar
Pak anies keren. .bener2 calon pemimpin yg amanah,pendukung_anis
"Bagus p prabowo brantas korupsi,trmasuk anis korupsi harus d seret ke mja hijau",pendukung_anis
"Pahamin jgn langsung komen visi misi pak Ganjar dia mendengarkan keluhan rakyat Indonesia,bocah wibuh bocah wibu pahamin dluin baru komen wibuu",pendukung_ganjar
"Pa Anis ngomong ke pak Prabowo...""BP ini bukan calon menhan tpi BP ini adalah menhan disini di tunjukan apa yng BP SDH kerjakan bukan apa yng mau di krja kan...kalau itu  saya berarti TNI akan sejahtera akan punya rumh masing"" dan TDK prlu ngekos"" pa Anis sadar GK sih waktu dia ngomong gitu ......waktu debat cagub aja dia bilng mau bngun rumh dp 0% untuk masyarakat yng mempunyai gaji di bawa UMR...nah ktikan udah bkin mlah masyarakat yng gajinya di atas UMR aja yng bisa rasain yng di bawah UMR mana ad .....trus pas di tnya emng itu sngaja di bngun untuk masyarakat yng gajinya di atas UMR ....lah ...... perbincangan waktu debat cagub beda dan waktu di tnya pas udah jdi gubernur beda lagi........😂 Trus mau so an mau urus menhan .......trus satu lagi pak ini debat capres di mna debat untuk mempertanyakan ke depan nya soal prthanan jika anda jdi presiden bukan debat calon menhan .....Pak Prabowo jdi menhan aja udah bkin rangking TNI kita naik di seluruh dunia jdi urutan ke 12 apa lagi klu pak Prabowo jdi presiden.......trus bapa blng kan klu bpa jdi menhan bpa akan mensejahterakan TNI yaudah BP gak usah ikut capres tunggu pa Prabowo jdi presiden lah BPK di angkat dah jdi menhan gak prlu cape"" pak ikut debat capres klu bpa mau jdi menhan 🤣",pendukung_anis
Prabowo Prabowo,pendukung_prabowo
"Harus Nya prabowo tuh udah peng siun
 Ngomong nya udah  marah2 aja cepet kesinggung lebih baik serahkan sama yg muda yg masih kuat untuk menjalan pemerintahan yg baik tegas jenius",pendukung_prabowo
"PRABOW0
PRABOWO
PRABOWO",pendukung_prabowo
di Lampung pupuk pertanian juga susah pak Prabowo..moga bisa di himbau,pendukung_prabowo
"1 . Pak anis.. menyelesaikan mslah dngan solusi
2. Pak prabowo. Mnyelesaikan mslah dngan maslah
3. Pak ganjar. Mnyelesaikan masalah tanpa solusi",pendukung_anis
Semangat pak.prabowo kita siap mendukungmu,pendukung_prabowo
mending kaya prabowo apa adanya dari pada dua cucunguk nutup nutupi sipat aslinya tapi prabowo menang hahahahahahahahahahahahahahahahahahahahahahahahahah nangis dong luuuuuuu,pendukung_prabowo
"Pa prabowo sepertinya hanya berorasi, tpi real nya sangat meragukan, anies fifty fifty pemahamannya bagus tpi utk prakteknya hmmmm fifty fifty.",pendukung_anis
"Belum apa-apa Anies udh ngejatuhin  02 aja, hih",pendukung_anis
Emang pintar pa anis tapi  bisa balek fakta,pendukung_anis
"Bapak prabowo kalo jadi presiden pasti hevi,krna suka ngelucu,jadi g akan asa bosen sma bapk prabowo ini😊",pendukung_prabowo
Ttp prabowo,pendukung_prabowo
Kemunafikan ada di dalam hati Prabowo,pendukung_prabowo
Pk Anis gk ada aura2nya dikitpun😂,pendukung_anis
BP Prabowo  👍👍👍🌹🌹🌹,pendukung_prabowo
"Jangan lupa pak Ganjar supaya  harga BBM  tetap sama diseluruh Indonesia, dan  bersihkan Indonesia dari korupsi sampai ke tingkat Rt diseluruh Indonesia.",pendukung_ganjar
Slam bpk prabowoo.  Yg lainya. Blm mmpu. Semngat pak prabowoo.,pendukung_prabowo
"Pak anis pak anis,najwa sihab itu loh bukti anda baru menjabat,dulu g mna skrang g mna.",pendukung_anis
"Gak bosen liat debat capres pertama ini, terutama liat pak Prabowo seru bikin ceria tapi jelas arahnya untuk memajukan Indonesia , moderator debat pertama ini bagus professional serasi,look nya juga cantik&ganteng Valerina Daniel&ardhito Wijaya⭐⭐⭐⭐⭐",pendukung_prabowo
Pa Anis Presiden 2024..Aminn YRB,pendukung_anis
"Pak Menhan.. sangat elegan 👍Prabowo dicerca dengan pertanyaan oleh dua orang pensiun gubernur yang pekerjaan mereka berdua banyak yang tidak tuntas,, dan banyak jalan jalan dan bicara banyak saja.. 
Mereka dua ini, Anis dan Ganjar menyerang Bung Prabowo dengan pengalaman setingkat Kepala Daerah. Lebih baik keduanya belajar lebih untuk jadi menteri saja..ya..
Bung Prabowo sangat senior..dan sabar.
Paling sangat layak jadi Presiden RI 2024.
💪💪Siap dukung Prabowo💪💪",pendukung_anis
Menit ke 51.55 mantap pak Prabowo...ceploss apa adanya..😅,pendukung_prabowo
 @khusnurinur5275  aku tau pak ganjar,pendukung_ganjar
Pak Prabowo presiden 2024❤,pendukung_prabowo
Semoga pak Ganjar Pranowo yang nomer satu Amin nyarobal alamin nyakalloh,pendukung_ganjar
"Udah deh menangkan prabowo aja, udah bosan dgn basa basi model 2 org itu",pendukung_prabowo
Pak prabowo yes pokoe maju pak bangsa ini butuh aksi bukan kalimat fijsi,pendukung_prabowo
"Pak Ganjar tolong kemiskinan di Jawa tengah di kurangi dulu..,saya berdomisili di Jawa tengah untuk cari makan saja susah..UMR nya juga masih sekecil itu.",pendukung_ganjar
prabowo di speech awal opening bilang indonesia msh aman.. padahal dulu dia bilang indonesia bisa bubar,pendukung_prabowo
Siapa yg menonton vidio ini setelah bapak prabowo terpilih❤,pendukung_prabowo
ANIS NGMG DOANG GADA BUKTI😂😂,pendukung_anis
Prabowo menang,pendukung_prabowo
"pak anis janji palsu doank,bau mulutnya 🤣🤣🤣",pendukung_anis
Ganjar juos nomor 1,pendukung_ganjar
all in prabowoo,pendukung_prabowo
Uang 80 triliun buat mengatasi polusi Jakarta engkau kemanakan Pak Anies?😅tapi nyatanya Jakarta masih jadi kota yang tertinggi polusinya didunia.lalu engkau menyalahkan itu salah dari tiupan angin?,pendukung_anis
no 3 yess...no 1 janji manis doank bukti nya nol,pendukung_anis
"Dari 3 calon presiden ini
Hanya pak anis
Yang good locking
Yang cerdas
Yang jujur
Yang tegas
Yang sopan
Yang sabar",pendukung_anis
aku suka kali pas prabowo bilang atau bahas soal anggaran 80T,pendukung_prabowo
"Betullll.omongnya manis,stlh jdi presiden zonk😅😅😅😅😅😅😅😅",pendukung_anis
Hidup bapak prabowo yang cerdas dan rendah hati,pendukung_prabowo
Anies adalah orang yang sangat pintar,pendukung_anis
"Waau betul kata anies,saya punya anak sering ngambil pulpen temen nya terus,nah gimna caranya saya mengubah anak saya menjadi lebih baik tergantung orang tua sebagai pimpinan kluarga di rumah,walau anak, tetap saya harus ubah",pendukung_anis
"Bismillah Pak Anies is the best 
Insya Allah Pasangan AMIN Mnjadi pilihan Allah Untuk mngubah Indonesia lebih baik Aamiin",pendukung_anis
Ganjar aja,pendukung_ganjar
"Prabowo - Tank
Ganjar - marksmen
Anis - mage
Dari tipe ini ya harus puas dengan menu type yg yang ada. Tapi kalo untuk berhadapan dengan negara asing rasanya butuh sosok assasin dan jungler, tidak bisa diremehkan karna kenyataannya ketahanan kita masih bergantung banyak pada negara lain, baik pangan, teknologi, sdm, alutsista, dan masih banyak ketergantungan negara indonesia kepada negara lain. Jadi jangan hanya fokus pada rakyat kecil, justru rakyat besar itu yang banyak menimbulkan masalah di negara ini. jujur karakter opsi pilpres masa ini tidak cukup untuk masalah yg ada. Tapi ya inilah demokrasi.. yg penting tetap jalan bersama indonesia kita .....❤",pendukung_anis
Bpk Prabowo is the best…!…❤,pendukung_prabowo
Ganjarrrrrrr❤❤,pendukung_ganjar
 @Alin_Mayda  banyak bicara tanpa bukti tanpa tindakan buat apa?? dek dek blajar dlu  dari masalalu pas anis sama pak ahok gimn 🤣,pendukung_anis
PAK GANJAR JADI MENTRI PERTAHANANHAM DAN HUKUM ANIS.,pendukung_anis
"Dari tahun sebelum nya tetap pak prabowo... 
Bismillah...",pendukung_prabowo
Pak anis cmn pintar bicara sj urus jakarta sj tidsk beres,pendukung_anis
Prabowo semoga jadi presiden,pendukung_prabowo
Selamat pak prabowo gemoyyy❤,pendukung_prabowo
"Anis keliat paling cerdas tp knp si nyindir trs, ga syuka dek ekye hihii😅😅🙏🙏",pendukung_anis
ini saya bicara itu saya bicara jelaskan kerjanya cuma bicara...dgrkan dgn jls klo anis ngomng,pendukung_anis
" @sisiiii7  
Joged nga salah bro
Tapi kalo bisa dialong ngapain joged kwkwkww

Prabowo joged karena nga bisa dialong
Takut di tanya orang
Takut nga bisa jawab",pendukung_prabowo
Orang yg paham dan ngerti pasti pk Prabowo lh yg tegas,pendukung_prabowo
Siap prabowo mju trus sht sllu amiin,pendukung_prabowo
Prabowo dan pak ganjar utk putaran ke 2,pendukung_prabowo
Pak Prabowo humoris jg bs memecahkan suasana tegang,pendukung_prabowo
Prabowo sedikit kata tp kreja nyata Anis bayk  mencela faktanya kerja. Nolll besarrr,pendukung_anis
"Prabowo mau negakkan hukum, wakil anda saja sudah melanggar hukum dari awal, mau bilang netral emang gak sadar apa anda dari awal sampai ahkhir penhitungan suara, lucu lucu",pendukung_prabowo
"Parah""""Prabowo menyerang pribadi Anis Baswedan""""",pendukung_anis
Pak Prabowo mantap top3 cara menjawab dr angka 1 dan pak Ganjar adem dan sejuk cara menjawab,pendukung_prabowo
Bapak Prabowo insyaallah presiden 2024 amin,pendukung_prabowo
"Ah PK Anis seukarang ngmg begitu nnt mah antek"" bpk lain lg",pendukung_anis
"Aq yakin byk yg pilih mas gibran❤❤❤❤❤❤❤❤❤❤pokok e pak prabowoo oyessss,bolone jokowi",pendukung_prabowo
Anies Baswedan🎉🎉,pendukung_anis
Anis Smart,pendukung_anis
benar sekali bapak prabowo,pendukung_prabowo
Orang pintar pilih Anis Baswedan dari sini kita paham kalo pak Anis murni berjalan sendirian,pendukung_anis
"Manis ucapan diawal ,namanya aja mau menjabat wkwk..setelah terpilih lihatlah nanti akan pahit di akhir ..siapapun pemimpin nya gak kerja keras gk makan",pendukung_anis
Betul  kata pk prabowo  ...mntap,pendukung_prabowo
"ANIES anies malaikat jibril dibawa bawa kampanye,sudalah anies jng bawa bawa agama,Agama ente saja blm tentu bener,bisa apa ente,bisanya utk bayar hutang ya pada yusuf kalla,kan baru bayar 300m itu juga uang dpt dari mana,msh kurang lagi 400 m ke yusuf kalla.",pendukung_anis
Prabowo enggak rela mati dia,pendukung_prabowo
Mntap pa anisss,pendukung_anis
Pak Prabowo itu hanya pokus liat petani dan nelayan tpi gk pukus kepada masyarakat yg betul2  membutuhkan seperti gagasan pak Anies jompo itu harus di sorot  dan anak anak sekolah yg TDK mampu dari ekonomi yg lemah saya salut sama pak Anies,pendukung_anis
Pak anies sangat bijak dan tegas..bismillah anies presiden  RI 2024,pendukung_anis
"Semoga pak Anies jadi presiden ri yang amanah, 🤲aminn",pendukung_anis
PRABOWO...... TUHAN BERKATI...,pendukung_prabowo
Anis baswedan sip,pendukung_anis
"orang indo harus bisa baca karakter asli anies, dia itu licik, pinter ngomong tapi hasil  kerja nol. dan menghalalkan segala cara, contoh waktu dia main politik agama dulu",pendukung_anis
💪💪💪💪💪💪💪💪💪Prabowo gibran❤❤❤,pendukung_prabowo
Keren Prabowo emang jossss,pendukung_prabowo
Suara nya pak prabowo di mikrofon sudah jelas suara pemimpin,pendukung_prabowo
"Prabowo otak nangga busuk
Gak punya jwbn yg bnr krna takutnya jujur pelanggaran HAM yg di ia lakukan slma jdi intelejen negara",pendukung_prabowo
Tadinya g mau milih setelah nonton ini hati terpanggil untuk dukung bp prabowo. Sehat selalu pak,pendukung_prabowo
Buktinya ganjar anis kmu kalah pilpres,pendukung_anis
Bau2nya sih Bpk prabowo😂,pendukung_prabowo
"Alahhhh emang demokrasi nya hancur, bapak anis kepilih bukan karena kepempimpinan jokowi atau dukungan prabowo..tapi seijin Allah dengan jalan umat muslim memilih. 

Emang fase 4 seperti kata Rosulullah adalah zaman sekarang dan Alhamdulillah akan berubah ke fase 5,fase islam lagi memimpin dunia",pendukung_anis
Prabowo. President.,pendukung_prabowo
